證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,本益比,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1304,台聚         ,199712,18444,13.89,6.4907,0.92231,1.3739,0.063954,0.1407,0.10649,0.21205,1.2001,285.81,203.65,12.03,17.32,25.1,15.7,-26.2059,-1
2401,凌陽         ,199712,18357,21.33,2.0028,0.86496,0.87061,0.34078,0.38435,0.34374,0.43459,0.12787,733.85,691.12,11.28,8.51,93.6,125.28,21.4721,1
1604,聲寶         ,199712,18324,21.21,29.8732,1.5983,0.99531,0.027867,0.047292,-0.0052308,0.033185,0.69704,226.7,121.23,3.58,4.36,-130.61,-13.39,30.363,1
2334,國豐         ,199712,17693,34.89,9.4043,2.056,1.8658,0.15541,0.21885,-0.0018053,0.19864,0.40822,138.19,56.78,3.82,8.48,-141.78,626.29,-28.3462,-1
1717,長興         ,199712,17647,11.88,3.7714,0.53012,0.31731,0.070652,0.14055,0.10103,0.084113,0.98937,119.86,76.86,5.76,4.62,23.43,34.65,-18.1818,1
2411,飛瑞         ,199712,17585,22.23,5.3696,1.2732,0.978,0.17413,0.23702,0.20702,0.18217,0.36114,281.83,232.26,5.96,3.25,91.78,96.51,6.8826,1
2533,昱成         ,199712,17233,108.36,328.3636,8.655,11.3943,0.008444,0.026736,0.13641,0.035173,2.1663,129.13,10.51,0.26,6.24,15.94,-42.09,-84.8007,-1
2905,三商行       ,199712,16872,21.7,9.9087,1.4371,0.41436,0.066983,0.1462,0.035285,0.04215,1.1826,102.95,46.65,6.01,10.5,-14.75,70.91,-26.0829,-1
2310,旭麗         ,199712,16822,29.44,2.7134,1.211,0.84598,0.24408,0.44618,0.05046,0.31163,0.82805,321.92,260.63,5.8,6.63,2.77,629.99,14.0625,1
2705,六福         ,199712,16524,61.46,28.586,2.6803,5.6907,0.068569,0.093818,0.25725,0.19918,0.36823,26.98,13.93,42.72,138.22,-24.57,-28.97,-10.5272,1
